iata_code,lat,lon
DAL,32.8481029,-96.8512063
DCA,38.851242,-77.04023149999999
DEN,39.8560963,-104.6737376
DSM,41.5341333,-93.6587958
ECP,30.3548543,-85.7995134
ELP,31.8053354,-106.3824345
EWR,40.6895314,-74.1744624
FLL,26.0742344,-80.1506022
FOE,38.9483444,-95.6664279
GEG,47.62174779999999,-117.534812
GSP,34.8959008,-82.2172338
IAD,38.9531162,-77.45653879999999
IND,39.7168593,-86.2955952
JAX,30.49407129999999,-81.6879368
LAS,36.0839998,-115.1537389
LAX,33.9415889,-118.40853
LBB,33.8176974,-118.1523845
LEX,38.03776149999999,-84.6026083
LGA,40.7769271,-73.8739659
LIT,34.7307049,-92.2216531
MAF,31.9417386,-102.2047497
MCI,39.2991181,-94.7107786
MCO,28.4311577,-81.308083
MDT,40.1942375,-76.7576672
MDW,41.78677589999999,-87.7521884
MEM,35.0420679,-89.9791729
MHT,42.929687,-71.4352177
MKE,42.9475534,-87.89664599999999
MSY,29.9910905,-90.2592299
OAK,37.7125689,-122.2197428
OKC,35.393056,-97.600556
OMA,41.3018733,-95.8937409
ONT,34.0559781,-117.598057
ORF,36.8956837,-76.2000161
PAE,47.9075768,-122.2808529
PBI,26.6857475,-80.0928165
PHL,39.8743959,-75.2424229
PVD,41.7245271,-71.4304062
RDU,35.88007899999999,-78.7879963
RIC,37.5065795,-77.3208112
RNO,39.4995907,-119.7680951
ROC,43.1225229,-77.66657219999999
RSW,26.5337051,-81.7553083
SAN,32.7338006,-117.1933038
SAT,29.5311973,-98.4683484
SBN,41.7077166,-86.315843
SEA,47.4502499,-122.3088165
SJC,37.3639472,-121.9289375
SMF,38.6950854,-121.5900648
STL,38.7499403,-90.374819
SYR,43.1139301,-76.1101888
TPA,27.9771524,-82.5311382
BWI,39.1774042,-76.6683922
EYW,24.5536707,-81.7549737
BGR,44.808176,-68.8165035
IAH,29.9902199,-95.3367827
DFW,32.8998091,-97.0403352
JFK,40.6413111,-73.77813909999999
LCK,39.8173811,-82.9358462
MIA,25.7958723,-80.2870509
ORD,41.9741625,-87.9073214
SFO,37.6213129,-122.3789554
ATL,33.6407282,-84.4277001
ACK,41.2569516,-70.0637506
ACT,31.6135898,-97.2262899
ALB,42.7487124,-73.8054981
AUS,30.19747109999999,-97.66635289999999
BCT,26.3829495,-80.1011879
BGM,42.208651,-75.9813976
BHM,33.5624269,-86.754126
BLF,37.2935004,-81.2076732
BOS,42.3656132,-71.0095602
BTP,40.779132,-79.947569
BTV,44.4706939,-73.1516037
BUF,42.9397059,-78.7295067
CHA,35.0374486,-85.19701119999999
FRG,40.7261266,-73.4167921
GCY,36.1931003,-82.8135653
GON,41.3300875,-72.0466745
GRB,44.4923396,-88.12775409999999
HGR,39.7051079,-77.7311945
HKY,35.7422447,-81.3892546
HPN,41.0683325,-73.7086641
MSV,41.702564,-74.8009022
MVL,44.5362896,-72.6140733
MVY,41.3892707,-70.6122055
NPT,41.5318166,-71.2806057
ORH,42.2680227,-71.8735112
ORL,28.546159,-81.3321678
PIT,40.4919208,-80.2352233
PNS,30.4738158,-87.1867049
PSM,43.0802589,-70.8211285
PVC,42.072367,-70.222247
ROA,37.320398,-79.9701915
SWF,41.4984032,-74.1008627
TEB,40.858332,-74.0615292
THV,39.9232727,-76.8775606
USA,39.8560963,-104.6737376
CVG,39.0532746,-84.6630165
DTW,42.2161722,-83.3553842
MSP,44.8847554,-93.2222846
SLC,40.7899404,-111.9790706
CLT,35.2144026,-80.9473146
CMH,39.9999399,-82.8871767
HSV,34.6403329,-86.77568989999999
BFI,47.5281657,-122.3018264
LRD,27.5447829,-99.4613589
MHR,38.5636592,-121.297211
PHX,33.4372686,-112.0077881
SBD,34.1005251,-117.24671
